ADVERTISER,VOL,NUM,PPG
Ashton-Tate,3,3,77
Ashton-Tate,3,4,168
Ashton-Tate,3,4,169
At Home w/Basics,4,11,6
At Home w/Basics,4,12,49
Atari,4,4,10
Atari,4,4,11
Atari,4,5,176
Atari,4,5,177
Atari,4,6,122
Atari,4,9,39
Atlantic Cabinet,2,7,43
Atlantic Cabinet,2,9,12
Atlantis Corporation,4,3,33
Atsuko Computing International,3,7,11
Aurora,1,10,25
Aurora,1,11,47
Aurora,2,4,122
Aurora Systems,1,12,12
Aurora Systems,2,1,63
Aurora Systems,2,2,54
Automated Simulations,1,2,Cover3
Automated Simulations,1,3,7
Automated Simulations,1,4,3
Avalanche Prods,2,11,25
Avalanche Prods,2,12,130
Avalanche Productions,3,1,148
Avalon Hill,3,2,41
Avalon Hill,3,3,31
Avalon Hill,3,4,115
Avant Garde,1,4,8
Avant Garde,1,5,10
Avant Garde,1,7,47
Avant Garde,1,9,30
Avant-Garde,1,8,44
Avant-Garde,1,10,27
Avant-Garde,1,12,40
Avant-Garde,2,2,143
Avant-Garde,2,2,97
Avant-Garde,2,3,134
Avant-Garde,2,3,39
Avant-Garde,2,3,76
Avant-Garde,2,4,131
Avant-Garde,2,4,142
Avant-Garde,2,4,60
Avant-Garde,2,5,132
Avant-Garde,2,6,125
Avant-Garde,2,7,168
Avant-Garde,2,7,179
Avant-Garde,2,7,46
Avant-Garde,2,7,74
Avant-Garde,2,8,157
Avant-Garde,2,8,74
Avant-Garde,2,9,103
Avant-Garde,2,9,128
Avant-Garde,2,9,182
Avant-Garde,2,9,78
Avant-Garde,2,10,173
Avant-Garde,2,10,175
Avant-Garde,2,10,177
Avant-Garde,2,11,161
Avant-Garde,2,11,163
Avant-Garde,2,11,165
Avant-Garde,2,12,183
Avant-Garde,2,12,185
Avant-Garde,2,12,187
Avant-Garde,3,1,157
Avant-Garde,3,1,169
Avant-Garde,3,2,164
Avant-Garde,3,2,36
Avant-Garde,3,3,130
Avant-Garde,3,3,212
Avant-Garde,3,4,94
Avant-Garde Creations,3,5,152
Avant-Garde Creations,3,6,132
Avant-Garde Creations,3,6,222
Avant-Garde Creations,3,7,121
Avant-Garde Creations,3,9,129
Avant-Garde Creations,3,9,219
Avant-Garde Creations,3,10,115
Avant-Garde Creations,3,10,257
Avant-Garde Creations,3,11,234
Avant-Garde Creations,3,12,139
Avant-Garde Creations,3,12,249
Avant-Garde Creations,3,12,266
Avant-Garde Creations,4,1,181
Avant-Garde Creations,4,1,269
Avant-Garde Creations,4,2,177
Avant-Garde Creations,4,2,239
Avant-Garde Creations,4,3,257
Aviation Services Limited,3,6,70
Axiom,1,1,Cover2
Axiom,1,3,Cover2
Axiom,1,10,46
Axlon,2,7,169
Axlon,2,8,48
Axlon,2,9,209
Axlon,2,10,82
Axlon,2,11,30
Axlon,2,12,174
Axlon,3,1,170
Axlon,3,2,70
Axlon,3,3,248
Axlon,3,4,149
Axlon,3,7,133
Axlon,3,8,27
Axlon,3,9,207
Axlon,3,10,85
B&H Systems,3,3,166
B. Dalton,3,2,125
B. Dalton,3,5,174
B. Dalton,3,8,147
B. Dalton,3,9,51
B. Dalton,3,10,109
B. Dalton,3,10,110
B. Dalton,3,10,111
BASF,3,2,123
BASF,3,3,78
BASF,3,4,183
BASF,3,5,183
BASF,3,6,109
BASF,3,7,174
BASF,3,8,39
BASF,3,9,118
BASF,3,10,190
BASF,3,11,210
BASF,3,12,236
BASF,4,1,108
BASF,4,2,140
BASF,4,3,122
BASF,4,4,118
BASF,4,7,41
BASF,4,8,115
BASF,4,9,21
BASF,4,10,18
BASF,4,10,19
BCS,3,11,155
BCS,3,12,157
BK Technologies,2,4,153
BK Technologies,2,5,47
BPI Systems,3,9,64
BPI Systems,3,10,210
BPI Systems,4,2,194
BPI Systems,4,6,74
BREM Enterprises,2,11,170
BREM Enterprises,2,12,57
Backus Data Systems,3,1,134
Balance Sheet,1,4,19
Baudville,4,3,103
Baudville,4,4,109
Baudville,4,6,256
Baudville,4,7,101
Baudville,4,8,135
Baudville,4,9,16
Baudville,4,10,168
Baudville,4,11,50
Baudville,4,12,12
Beagle Bros,1,7,26
Beagle Bros,1,8,60
Beagle Bros,1,9,2
Beagle Bros,1,10,11
Beagle Bros,1,11,38
Beagle Bros,2,4,72
Beagle Bros,2,5,65
Beagle Bros,2,6,26
Beagle Bros,2,7,109
Beagle Bros,2,8,165
Beagle Bros,2,9,59
Beagle Bros,2,10,98
Beagle Bros,2,11,87
Beagle Bros,2,12,17
Beagle Bros,3,1,17
Beagle Bros,3,2,67
Beagle Bros,3,3,125
Beagle Bros,3,3,28
Beagle Bros,3,3,29
Beagle Bros,3,4,212
Beagle Bros,3,4,213
Beagle Bros,3,4,73
Beagle Bros,3,5,60
Beagle Bros,3,5,61
Beagle Bros,3,6,212
Beagle Bros,3,6,221
Beagle Bros,3,7,235
Beagle Bros,3,7,61
Beagle Bros,3,8,255
Beagle Bros,3,8,89
Beagle Bros,3,9,105
Beagle Bros,3,9,184
Beagle Bros,3,10,197
Beagle Bros,3,10,73
Beagle Bros,3,11,100
Beagle Bros,3,11,245
Beagle Bros,3,12,183
Beagle Bros,3,12,240
Beagle Bros,4,1,121
Beagle Bros,4,1,286
Beagle Bros,4,2,213
Beagle Bros,4,2,275
Beagle Bros,4,3,177
Beagle Bros,4,3,287
Beagle Bros,4,4,113
Beagle Bros,4,4,381
Beagle Bros,4,5,100
Beagle Bros,4,5,101
Beagle Bros,4,6,196
Beagle Bros,4,6,197
Beagle Bros,4,7,172
Beagle Bros,4,7,173
Beagle Bros,4,8,100
Beagle Bros,4,8,101
Beagle Bros,4,9,148
Beagle Bros,4,9,149
Beagle Bros,4,10,22
Beagle Bros,4,10,23
Beagle Bros,4,11,100
Beagle Bros,4,11,101
Beagle Bros,4,12,84
Beagle Bros,4,12,85
Beagle Bros. Software,1,6,44
Beaman Porter,2,10,212
Beaman Porter,2,10,24
Beaman Porter,3,7,241
Beaman Porter,3,8,50
Beaman Porter,3,9,166
Beaman Porter,3,10,249
Beaman Porter,3,11,189
Beaman Porter,3,12,268
Beaman Porter,4,1,38
Beaman Porter,4,2,50
Beaman Porter,4,3,10
Beaman Porter,4,4,39
Behavioral Engineering,3,5,38
Behavioral Engineering,3,7,199
Bell & Howell,1,8,29
Bench Collection,2,10,131
Bench Collection,2,12,189
Berlinersoft,2,4,168
Bible Research,2,10,21
Bible Research,2,11,178
Bible Research,3,2,224
Bible Research,3,3,266
Bible Research,3,4,312
Bible Research,3,5,214
Bible Research,3,6,203
Bible Research,3,8,198
Bible Research,3,9,44
Bible Research,3,10,14
Bible Research,3,12,84
Bible Research,4,2,14
Bible Research,4,3,310
Bible Research,4,4,398
Bible Research,4,6,26
Bible Research,4,10,141
Bible Research,4,12,101
Bible Research Systems,2,6,174
Bible Research Systems,2,8,6
Bit 3,2,8,70
Bit 3,2,9,192
Bit 3,2,10,122
BitCards,4,3,18
Bite-Soft,1,7,34
Bite-Soft,1,8,54
Bite-Soft,1,9,52
Bite-Soft,1,10,52
Bite-Soft,1,11,21
Bite-Soft,1,12,36
Bite-Soft,2,3,119
Bite-Soft,2,3,90
Bite-soft,2,1,6
Bite-soft,2,2,84
Bite-soft,2,4,48
Bite-soft,2,5,99
Bite-soft,2,6,144
Bite-soft,2,7,40
Bite-soft,2,8,120
Bite-soft,2,9,225
Black Sun,3,5,43
Black Sun,3,8,240
Black Sun,3,9,252
Black Sun,3,11,118
Blue Chip Software,3,8,140
Blue Chip Software,3,8,141
Blue Chip Software,3,9,151
Blue Chip Software,3,10,272
Blue Chip Software,3,11,106
Blue Chip Software,3,12,65
Blue Chip Software,4,2,240
Blue Chip Software,4,3,146
Blue Chip Software,4,4,148
Blue Chip Software,4,6,103
Blue Lakes Software,2,11,104
Blue Lakes Software,2,12,56
Blue Lakes Software,3,1,48
Blue Lakes Software,3,2,254
Blue Lakes Software,3,3,195
Blue Lakes Software,3,4,20
Blue Lakes Software,3,4,65
Blue Lakes Software,3,5,34
Blue Ridge Software,4,8,209
Blue Ridge Software,4,9,74
Bluebush,4,7,145
Bluebush,4,8,172
Bluebush,4,9,66
Bluebush,4,10,148
Bluebush,4,11,116
Blythe Valley Software,3,12,81
Blythe Valley Software,4,3,315
Blythe Valley Software,4,4,140
Book 1981,1,6,20
Book Publishing,1,5,17
Book Publishing Company,1,1,2
Book Publishing Company,1,4,32
Borland International,4,5,211
Borland International,4,6,69
Borland International,4,7,73
Borland International,4,8,61
Borland International,4,9,62
Borland International,4,10,189
Borland International,4,11,125
Borland International,4,12,125
Boston Computer Society,1,8,35
Bourbon Street,2,2,80
Bourbon Street,2,3,66
Bourbon Street,2,4,20
Bourbon Street,2,5,114
Bourbon Street,2,6,130
Bourbon Street,2,8,87
Bourbon Street Press,2,12,144
Brem Enterprises,3,2,44
Brem Enterprises,3,3,40
Brem Enterprises,3,4,295
Brem Enterprises,3,5,210
Bright Side,2,10,217
Bright-Side,2,11,10
Brillig,2,1,13
Brillig,2,7,146
Brillig,2,8,91
Brillig,2,9,32
Brillig,2,10,66
Brillig Systems,1,11,58
Brillig Systems,2,4,152
Britco,4,11,14
Broderbund,2,1,27
Broderbund,2,2,37
Broderbund,2,3,181
Broderbund,2,3,5
Broderbund,2,4,125
Broderbund,2,4,15
Broderbund,2,4,7
Broderbund,2,5,129
Broderbund,2,5,174
Broderbund,2,5,5
Broderbund,2,6,165
Broderbund,2,6,36
Broderbund,2,6,5
Broderbund,2,7,110
Broderbund,2,7,13
Broderbund,2,7,65
Broderbund,2,8,36
Broderbund,2,9,26
Broderbund,2,10,198
Broderbund,3,1,70
Broderbund,3,1,71
Broderbund Software,1,5,29
Broderbund Software,1,6,42
Broderbund Software,1,7,36
Broderbund Software,1,8,70
Broderbund Software,1,9,39
Broderbund Software,1,10,32
Broderbund Software,1,11,9
Broderbund Software,1,12,87
Broderbund Software,3,2,134
Broderbund Software,3,2,135
Broderbund Software,3,3,220
Broderbund Software,3,3,221
Broderbund Software,3,4,112
Broderbund Software,3,4,113
Broderbund Software,3,5,250
Broderbund Software,3,6,250
Broderbund Software,3,7,274
Broderbund Software,3,8,282
Broderbund Software,3,9,266
Broderbund Software,3,10,282
Broderbund Software,3,11,282
Broderbund Software,3,12,284
Broderbund Software,4,1,302
Broderbund Software,4,2,314
Broderbund Software,4,3,330
Broderbund Software,4,4,309
Broderbund Software,4,4,410
Broderbund Software,4,5,7
Broderbund Software,4,6,199
Broderbund Software,4,6,7
Broderbund Software,4,7,7
BudgeCo,1,9,74
BudgeCo,1,10,82
BudgeCo,1,11,66
BudgeCo,1,12,90
BudgeCo,2,1,114
BudgeCo,2,2,146
BudgeCo,2,3,188
BudgeCo,2,4,206
BudgeCo,2,5,69
BudgeCo,2,6,52
BudgeCo,2,7,126
BudgeCo,2,8,186
BudgeCo,2,9,73
BudgeCo,2,10,38
BudgeCo,2,11,149
BudgeCo,2,12,47
BudgeCo,3,1,135
BudgeCo,3,2,58
BudgeCo,3,3,192
BudgeCo,3,4,161
BudgeCo,3,5,104
BudgeCo,3,6,3
BudgeCo,3,7,159
BudgeCo,3,8,78
BudgeCo,3,9,147
BudgeCo,3,10,163
BudgeCo,3,11,85
BudgeCo,3,12,31
BudgeCo,4,1,289
BudgeCo,4,2,191
BudgeCo,4,3,191
BudgeCo,4,4,351
Business & Professional Software,1,8,7
Business & Professional Software,1,9,23
Business & Professional Software,2,8,127
Business & Professional Software,2,9,30
Business & Professional Software,2,10,89
Business Computer Center,3,6,195
Business Solutions,3,3,97
Business Solutions,3,4,119
Business Solutions,3,6,185
Business Solutions,3,7,200
Business Solutions,3,8,90
Business Solutions,3,8,91
Business Solutions,3,9,214
Business Solutions,3,10,214
Business Solutions,3,10,215
Business Solutions,3,11,133
Business Solutions,3,12,171
Business Solutions,4,1,176
Business Solutions,4,2,29
Business Solutions,4,2,30
Business Solutions,4,2,31
Business Solutions,4,3,29
Business Solutions,4,3,30
